مشاع؟,نوع العقار,سعر المتر,المساحة,سعر العملية,نوع العملية,القطعة,المخطط,الحي,المدينة,المنطقة,التاريخ
كامل العقار,قطعة أرض,5225.0,2256.0,11786502.0,صفقة,103,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-07-24
كامل العقار,قطعة أرض,2817.0,727.0,2047223.0,صفقة,47,652 / ج / س,المنارات,جدة,منطقة مكة المكرمة,2026-02-16
كامل العقار,قطعة أرض,2435.0,596.0,1450000.0,صفقة,1114,352 / ب,السامر,جدة,منطقة مكة المكرمة,2025-08-28
كامل العقار,شقة,2454.0,201.0,493991.0,صفقة,5,444 / ج / س,الورود,جدة,منطقة مكة المكرمة,2025-12-10
كامل العقار,شقة,3357.0,155.0,520000.0,صفقة,2 / 3,المنح / 3,العزيزية,جدة,منطقة مكة المكرمة,2025-09-16
كامل العقار,شقة,3437.0,122.0,419000.0,صفقة,3 / 5,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-12-30
كامل العقار,شقة,7027.0,107.0,750000.0,صفقة,2 / 2,17ب,النهضة,جدة,منطقة مكة المكرمة,2025-12-01
كامل العقار,قطعة أرض,3300.0,704.0,2322804.0,صفقة,37,596 / ج / س,أم حبلين,جدة,منطقة مكة المكرمة,2025-11-27
كامل العقار,شقة,2822.0,233.0,656374.0,صفقة,1 / 6,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-12-11
كامل العقار,قطعة أرض,6750.0,200.0,1350000.0,صفقة,7862,3 / 505 / ت,الشراع,جدة,منطقة مكة المكرمة,2025-09-15
كامل العقار,شقة,6851.0,204.0,1400000.0,صفقة,1 / ح1,51 / ب,الزهراء,جدة,منطقة مكة المكرمة,2025-10-06
كامل العقار,شقة,2690.0,220.0,590743.0,صفقة,2 / 112,384 / ج / س,المنار,جدة,منطقة مكة المكرمة,2026-01-19
كامل العقار,قطعة أرض,3432.0,656.0,2250000.0,صفقة,636,132 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-05-27
كامل العقار,شقة,2658.0,216.0,573614.0,صفقة,2 / 7,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-08-07
كامل العقار,قطعة أرض,1072.0,625.0,670000.0,صفقة,2860 / هـ,184 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2025-05-26
كامل العقار,قطعة أرض,968.0,310.0,300000.0,صفقة,159 / 1 / 2ص,244 / ج / س,الفرقان,جدة,منطقة مكة المكرمة,2025-07-31
كامل العقار,شقة,3539.0,96.0,339000.0,صفقة,4 / أ,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-07-03
كامل العقار,قطعة أرض,1583.0,600.0,950000.0,صفقة,287,402 / ب,الجوهرة,جدة,منطقة مكة المكرمة,2025-08-18
كامل العقار,شقة,3262.0,153.0,500000.0,صفقة,1 / 3,3 / 471 / ع,الفيصلية,جدة,منطقة مكة المكرمة,2026-02-15
كامل العقار,قطعة أرض,779.0,899.0,700000.0,صفقة,1065 / 2 / ح,244 / ج / س,جوهرة العروس,جدة,منطقة مكة المكرمة,2025-08-31
كامل العقار,قطعة أرض,1280.0,313.0,400000.0,صفقة,2121 / أ / هـ,184 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2025-09-01
كامل العقار,قطعة أرض,2699.0,196.0,528709.0,صفقة,بدون,بدون,عنيكش,جدة,منطقة مكة المكرمة,2025-08-20
كامل العقار,قطعة أرض,649.0,450.0,292000.0,صفقة,1484 / 2,599 / ج / س,الندى,جدة,منطقة مكة المكرمة,2025-07-31
كامل العقار,قطعة أرض,1852.0,405.0,750000.0,صفقة,984 / 10 / 15 / ج,99 / ج / س / المعدل,البحيرات,جدة,منطقة مكة المكرمة,2025-07-02
كامل العقار,شقة,2822.0,106.0,300000.0,صفقة,4,87 / ج / س,مدائن الفهد,جدة,منطقة مكة المكرمة,2025-06-22
كامل العقار,شقة,3154.0,101.0,319000.0,صفقة,1 / 2,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-12-31
كامل العقار,شقة,3961.0,69.0,274000.0,صفقة,11,337 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-10-13
كامل العقار,شقة,5019.0,174.0,874500.0,صفقة,1 / ح1,3 / 79 / ع,العزيزية,جدة,منطقة مكة المكرمة,2025-12-02
كامل العقار,شقة,5583.0,140.0,780000.0,صفقة,2 / 4,17ب,النهضة,جدة,منطقة مكة المكرمة,2026-01-06
كامل العقار,قطعة أرض,893.0,403.0,360000.0,صفقة,786 / 1 / 1و,244 / ج / س,الغدير,جدة,منطقة مكة المكرمة,2025-06-24
كامل العقار,شقة,2093.0,215.0,450000.0,صفقة,13,384 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-08-12
كامل العقار,شقة,3661.0,120.0,439000.0,صفقة,3 / 2,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-07-15
كامل العقار,شقة,3357.0,149.0,500000.0,صفقة,6 / 2,14 / 101 / ب / المعدل,الروابي,جدة,منطقة مكة المكرمة,2025-06-18
كامل العقار,قطعة أرض,3333.0,450.0,1500000.0,صفقة,685,414 / ج / س,الرياض,جدة,منطقة مكة المكرمة,2025-09-30
كامل العقار,شقة,3479.0,114.0,395934.0,صفقة,4 / 1,384 / ج / س,المنار,جدة,منطقة مكة المكرمة,2026-01-22
كامل العقار,قطعة أرض,2600.0,811.0,2108470.0,صفقة,203,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2025-12-17
كامل العقار,شقة,6571.0,140.0,920000.0,صفقة,1 / أ,3 / 37 / ع,الروضة,جدة,منطقة مكة المكرمة,2025-05-26
كامل العقار,قطعة أرض,3870.0,300.0,1160887.0,صفقة,416 / د / 1,290 / ب / 1402,الرحمانية,جدة,منطقة مكة المكرمة,2025-10-19
كامل العقار,شقة,2710.0,118.0,320000.0,صفقة,4,433 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-16
كامل العقار,قطعة أرض,3676.0,595.0,2186625.0,صفقة,584,351 / ج / س,مريخ,جدة,منطقة مكة المكرمة,2025-11-19
كامل العقار,قطعة أرض,3300.0,90.0,297000.0,صفقة,بدون,بدون,القريات,جدة,منطقة مكة المكرمة,2025-11-06
كامل العقار,شقة,3137.0,102.0,320000.0,صفقة,3 / 1,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-07-14
كامل العقار,قطعة أرض,6262.0,159.0,992525.0,صفقة,بدون,بدون,طريق مكه شمال خط الاسفلت بالكيلو السادس,جدة,منطقة مكة المكرمة,2025-11-25
كامل العقار,شقة,3721.0,165.0,615000.0,صفقة,3 / 2,32 / ب,السلامة,جدة,منطقة مكة المكرمة,2025-08-05
كامل العقار,شقة,3008.0,123.0,370000.0,صفقة,2 / أ,3 / 334 / ع,الربوة,جدة,منطقة مكة المكرمة,2025-10-26
كامل العقار,قطعة أرض,1500.0,600.0,900000.0,صفقة,373,377 / ب,الياقوت,جدة,منطقة مكة المكرمة,2025-06-04
كامل العقار,شقة,5665.0,147.0,830000.0,صفقة,4 / 3,3 / 464 / ع,الزهراء,جدة,منطقة مكة المكرمة,2026-02-01
كامل العقار,شقة,3214.0,174.0,560000.0,صفقة,1 / 1,3 / 465 / ع,الصفا,جدة,منطقة مكة المكرمة,2026-01-04
كامل العقار,شقة,3774.0,172.0,649000.0,صفقة,1 / ح1,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-12-06
كامل العقار,شقة,3972.0,171.0,680000.0,صفقة,1 / 1,68 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-12-11
كامل العقار,شقة,3228.0,139.0,450000.0,صفقة,3 / 1,منح / 3,العزيزية,جدة,منطقة مكة المكرمة,2025-06-02
كامل العقار,شقة,2687.0,238.0,640759.0,صفقة,2 / 6,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-10-27
كامل العقار,قطعة أرض,3167.0,300.0,950000.0,صفقة,1627 / 1 / ج,290 / ب / 1402,الرحمانية,جدة,منطقة مكة المكرمة,2025-06-22
كامل العقار,شقة,3916.0,120.0,469000.0,صفقة,2 / أ,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-06-17
كامل العقار,قطعة أرض,1375.0,400.0,550000.0,صفقة,123 / 1 / ب,101 / ب / 1400,القرينية,جدة,منطقة مكة المكرمة,2026-02-09
كامل العقار,شقة,4910.0,78.0,385000.0,صفقة,3 / 3,3 / 56 / ع,الروضة,جدة,منطقة مكة المكرمة,2025-08-11
كامل العقار,شقة,2497.0,60.0,150000.0,صفقة,بدون,454 / ب,النسيم,جدة,منطقة مكة المكرمة,2025-07-25
كامل العقار,شقة,3918.0,140.0,550000.0,صفقة,3 / أ,3 / 468 / ع,الزهراء غرب طريق المدينة,جدة,منطقة مكة المكرمة,2026-02-09
كامل العقار,قطعة أرض,7738.0,504.0,3900000.0,صفقة,6,3 / 318 / ع,العزيزية,جدة,منطقة مكة المكرمة,2025-07-16
